TIP5P System - No Bonds/Angles (for rigid/small)

496 atoms

5 atom types

-20.0 20.0 xlo xhi
-20.0 20.0 ylo yhi
-20.0 20.0 zlo zhi

Masses

1 28.0855
2 12.0107
3 15.9994
4 1.008
5 0.0001

Atoms  # full

312 64 3 0.000 -3.488425 -4.428205 5.344461
313 64 4 0.241 -3.016035 -4.023021 4.614208
314 64 4 0.241 -2.798163 -4.774411 5.913913
315 64 5 -0.241 -4.096644 -4.242389 5.050668
316 64 5 -0.241 -3.972814 -4.669447 5.789367
317 65 3 0.000 -2.639388 9.559835 -8.390590
318 65 4 0.241 -3.358822 9.826418 -8.966737
319 65 4 0.241 -3.057681 9.403334 -7.541393
320 65 5 -0.241 -2.190374 9.628342 -8.923943
321 65 5 -0.241 -2.019218 9.387879 -8.113837
322 66 3 0.000 3.920591 -3.973815 -8.036993
323 66 4 0.241 4.321320 -4.236555 -8.868246
324 66 4 0.241 4.547347 -3.357094 -7.653030
325 66 5 -0.241 3.373567 -4.390068 -8.172161
326 66 5 -0.241 3.502032 -3.890219 -7.481483
327 67 3 0.000 8.828600 1.020765 5.994286
328 67 4 0.241 8.693440 0.781420 5.075024
329 67 4 0.241 9.109974 0.205824 6.415351
330 67 5 -0.241 8.641526 1.679722 5.847483
331 67 5 -0.241 8.878267 1.352577 6.609270
332 68 3 0.000 8.647555 2.911383 -7.328493
333 68 4 0.241 8.226678 3.318411 -8.088617
334 68 4 0.241 9.223201 3.594664 -6.978700
335 68 5 -0.241 8.291640 2.320567 -7.451103
336 68 5 -0.241 8.858023 2.477578 -6.820273
337 69 3 0.000 -7.348356 2.766737 -4.812446
338 69 4 0.241 -6.983246 2.559752 -5.675260
339 69 4 0.241 -7.167628 3.701514 -4.693591
340 69 5 -0.241 -7.552435 2.100299 -4.741846
341 69 5 -0.241 -7.657230 2.749230 -4.183906
342 70 3 0.000 -2.373224 8.633622 6.421284
343 70 4 0.241 -2.057946 8.101151 5.688024
344 70 4 0.241 -2.290302 8.060876 7.186582
345 70 5 -0.241 -2.494298 9.164384 5.980370
346 70 5 -0.241 -2.626360 9.141493 6.832089
347 71 3 0.000 -7.874048 3.737951 -3.389385
348 71 4 0.241 -8.702685 3.753846 -3.872814
349 71 4 0.241 -8.069555 4.185807 -2.563675
350 71 5 -0.241 -7.572748 3.397290 -3.922246
